id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm7719,The Prince and the Pauper,MOVIE,1962,,93,[],['US'],,tt1836776,6.3,295,6.39,7.7
tm156939,Snowball Express,MOVIE,1972,G,93,"['comedy', 'family']",['US'],,tt0069291,6.3,1790,3.14,6.6
tm183361,The Moon-Spinners,MOVIE,1964,PG,118,"['family', 'thriller', 'romance']",['US'],,tt0058371,6.6,2640,4.154,6
tm112491,"Davy Crockett, King of the Wild Frontier",MOVIE,1955,PG,93,"['western', 'drama', 'family']",['US'],,tt0047977,6.9,4219,5.875,6.5
tm91299,Herbie Goes to Monte Carlo,MOVIE,1977,G,105,"['action', 'romance', 'sport', 'crime', 'comedy', 'family', 'fantasy']",['US'],,tt0076137,5.6,7418,9.845,5.8
ts27944,Spin and Marty,SHOW,1955,,12,"['western', 'family']",['US'],1,tt0047775,8,300,2.866,8
tm73745,The Ugly Dachshund,MOVIE,1966,G,93,"['comedy', 'drama', 'family']",['US'],,tt0061135,6.5,4133,9.406,6.7
tm115739,The Adventures of Bullwhip Griffin,MOVIE,1967,,108,"['western', 'family', 'romance', 'action', 'comedy']",['US'],,tt0061333,6.5,1060,3.871,6.4
tm44585,Greyfriars Bobby: The True Story of a Dog,MOVIE,1961,PG,87,"['family', 'drama']",['US'],,tt0054944,7.2,1568,3.87,6.7
tm124019,The Strongest Man in the World,MOVIE,1975,G,92,"['comedy', 'scifi', 'family']",['US'],,tt0073760,5.9,3271,4.99,5.9
tm91078,Treasure of Matecumbe,MOVIE,1976,G,117,"['western', 'family']",['US'],,tt0075347,6.1,792,4.837,6.1
tm18794,The Cat from Outer Space,MOVIE,1978,G,104,"['scifi', 'comedy', 'family']",['US'],,tt0077305,6,5173,8.177,5.7
tm42937,Third Man on the Mountain,MOVIE,1959,G,105,"['drama', 'family']",['US'],,tt0053352,7.1,1049,2.063,6.4
tm78765,Unidentified Flying Oddball,MOVIE,1979,G,93,"['scifi', 'fantasy', 'family', 'comedy']",['US'],,tt0080062,5.1,1182,3.145,5.2
tm107435,Herbie Rides Again,MOVIE,1974,G,88,"['fantasy', 'comedy', 'family', 'romance']",['US'],,tt0071607,5.6,8034,13.76,6.1
tm88710,Gus,MOVIE,1976,G,96,"['comedy', 'family', 'sport']",['US'],,tt0074599,5.7,1906,3.904,5.9
tm124426,Perri,MOVIE,1957,G,75,"['fantasy', 'romance', 'family']",['US'],,tt0050837,6.8,540,2.913,6.9
tm67783,The Apple Dumpling Gang Rides Again,MOVIE,1979,G,88,"['comedy', 'western', 'family']",['US'],,tt0078790,6,2865,4.977,6.3
tm152094,The Biscuit Eater,MOVIE,1972,G,92,"['drama', 'family']",['US'],,tt0068276,5.8,437,2.144,5.7
tm11266,The Million Dollar Duck,MOVIE,1971,G,89,"['comedy', 'family', 'scifi']",['US'],,tt0066728,5.7,2344,6.101,5.5
tm109409,The Bears and I,MOVIE,1974,G,89,"['drama', 'family']",['CA'],,tt0071199,6.2,451,1.888,5.7
tm181425,Emil and the Detectives,MOVIE,1964,PG,99,"['comedy', 'drama', 'family', 'crime']",['US'],,tt0058056,6.2,708,2.13,6.1
tm104617,The Living Desert,MOVIE,1953,G,69,"['documentation', 'family']",['US'],,tt0046008,7.4,1510,4.981,7.3
tm98555,Herbie Goes Bananas,MOVIE,1980,G,110,"['comedy', 'fantasy', 'family']",['US'],,tt0080861,4.9,5693,9.802,5.2
tm19764,The Vanishing Prairie,MOVIE,1954,G,71,"['documentation', 'family']",['US'],,tt0047642,7.3,623,1.947,7.4
tm1027745,The Story of the Faithful Wookiee,MOVIE,1978,,9,['animation'],['US'],,,,,2.253,8.8
tm15129,Hacksaw,MOVIE,1971,PG,89,['family'],['US'],,tt0067172,5.8,107,2.023,5.5
tm24673,Yellowstone Cubs,MOVIE,1963,G,48,"['comedy', 'family']",['US'],,tt0206446,6.8,289,1.849,8
tm90286,Secrets of Life,MOVIE,1956,G,70,"['documentation', 'family']",['US'],,tt0049733,7.3,274,1.596,7.2
tm111322,The African Lion,MOVIE,1955,G,75,"['documentation', 'family']",['US'],,tt0047803,7.2,473,3.377,7
tm95184,Davy Crockett and the River Pirates,MOVIE,1956,G,81,"['western', 'comedy', 'drama', 'family']",['US'],,tt0049125,6.6,2118,5.002,6.4
tm15819,The Small One,MOVIE,1978,G,26,['animation'],['US'],,,,,5.198,7
tm10775,Almost Angels,MOVIE,1962,,93,"['comedy', 'family', 'music']",['US'],,tt0055740,6.5,556,3.124,6.6
tm47139,Jungle Cat,MOVIE,1959,PG,69,"['documentation', 'family']",['US'],,tt0053977,7.2,334,2.461,7.9
tm153909,Justin Morgan Had a Horse,MOVIE,1972,G,88,"['western', 'family', 'drama']",['US'],,tt0068789,6.7,206,2.741,7
tm218826,A Tale of Two Critters,MOVIE,1977,G,48,"['family', 'documentation', 'action']",['US'],,tt0287003,6,199,1.952,5.6
tm60333,Pluto's Party,MOVIE,1952,,7,['animation'],['US'],,,,,2.749,6.2
tm79554,Those Calloways,MOVIE,1965,PG,131,"['drama', 'family']",['US'],,tt0059796,6.6,714,2.64,6.3
tm107673,The Castaway Cowboy,MOVIE,1974,G,88,"['western', 'comedy', 'family']",['US'],,tt0071288,5.8,716,2.73,6
tm260657,The Boy Who Talked to Badgers,MOVIE,1975,,100,"['family', 'action']",['US'],,tt0072728,5.5,121,3.849,6
tm10086,"Sammy, the Way-Out Seal",MOVIE,1962,G,88,['comedy'],['US'],,,,,3.827,6.8
tm107951,The New Neighbor,MOVIE,1953,,7,['animation'],['US'],,,,,2.888,6.2
tm19308,Dragon Around,MOVIE,1954,,7,['animation'],['US'],,,,,3.594,6.9
tm61982,Trick or Treat,MOVIE,1952,,8,['fantasy'],['US'],,,,,6.621,6.8
tm894355,The Liberty Story,MOVIE,1957,G,48,['drama'],['US'],,,,,0.954,8
tm205517,The Ghosts of Buxley Hall,MOVIE,1980,,120,"['fantasy', 'horror', 'comedy', 'family']",['US'],,tt0080788,5.7,286,1.063,6.2
tm109842,Beezy Bear,MOVIE,1955,,7,['animation'],['US'],,,,,4.424,6.5
tm58414,Water Birds,MOVIE,1952,,30,"['family', 'documentation']",['US'],,,,,2.303,6.3
tm123160,Mars and Beyond,MOVIE,1957,,53,['animation'],['US'],,,,,1.702,8.5
tm59473,Pluto's Christmas Tree,MOVIE,1952,G,7,['comedy'],['US'],,,,,6.239,7.2
tm230979,The Plausible Impossible,MOVIE,1956,,60,['documentation'],['US'],,,,,0.925,7
tm895685,The Story of the Animated Drawing,MOVIE,1955,G,49,['documentation'],['US'],,,,,1.543,
tm133398,Out of Scale,MOVIE,1951,,7,['animation'],['US'],,,,,3.496,7.2
tm918170,The Pre-Opening Report from Disneyland,MOVIE,1955,,55,"['family', 'documentation', 'history']",[],,,,,0.854,
tm109497,Prowlers of the Everglades,MOVIE,1953,,32,['documentation'],[],,,,,1.76,7
tm102930,Don's Fountain of Youth,MOVIE,1953,,6,['animation'],['US'],,,,,3.244,6.6
tm105638,The Simple Things,MOVIE,1953,,7,['comedy'],['US'],,,,,5.146,6.1
